Table S1e Top ranked cell type-expressed genes based on human data					
					
Zhang2016_rank	Darmanis2015_rank	grand_rank	gene	Celltype	
414	1565	989.5	FRS2	ast	
1235	746	990.5	ANKRD12	ast	
588	1395	991.5	PPP2CB	ast	
378	1607	992.5	HSD17B4	ast	
704	1282	993	RSF1	ast	
1199	788	993.5	PRDX1	ast	
1486	501	993.5	RP11-166D19.1	ast	
499	1492	995.5	SPOCK1	ast	
602	1391	996.5	ZSWIM6	ast	
555	1439	997	DMXL2	ast	
1716	281	998.5	DCUN1D4	ast	
871	1133	1002	CHD2	ast	
569	1437	1003	SORT1	ast	
902	1108	1005	MYL6	ast	
910	1101	1005.5	HNRNPA3	ast	
1415	597	1006	KANK1	ast	
1333	679	1006	LDHA	ast	
1072	940	1006	TNKS	ast	
1177	836	1006.5	CMYA5	ast	
1581	434	1007.5	NEK1	ast	
947	1069	1008	EIF3A	ast	
371	1648	1009.5	AKAP11	ast	
1637	384	1010.5	GRAMD1C	ast	
426	1595	1010.5	MTUS1	ast	
1111	911	1011	USO1	ast	
927	1096	1011.5	GAREM	ast	
1147	883	1015	FTO	ast	
1591	446	1018.5	TMEM41B	ast	
452	1588	1020	ACAA2	ast	
707	1334	1020.5	SPEN	ast	
1490	553	1021.5	TAOK3	ast	
851	1193	1022	ACACB	ast	
1008	1036	1022	TXNIP	ast	
809	1236	1022.5	CCND2	ast	
761	1285	1023	PTTG1IP	ast	
390	1659	1024.5	MT-ND3	ast	
930	1124	1027	CRKL	ast	
936	1118	1027	FOXO1	ast	
552	1505	1028.5	RAD21	ast	
1053	1004	1028.5	SPG11	ast	
236	1822	1029	MRFAP1	ast	
1610	451	1030.5	ARL8B	ast	
653	1408	1030.5	CAMSAP2	ast	
1232	829	1030.5	NRD1	ast	
718	1345	1031.5	TNPO1	ast	
878	1187	1032.5	PTCD3	ast	
604	1463	1033.5	HECTD1	ast	
1250	817	1033.5	RALGAPA2	ast	
334	1734	1034	AMOT	ast	
866	1214	1040	WDR17	ast	
554	1528	1041	PHYHIPL	ast	
1542	541	1041.5	IL33	ast	
1153	933	1043	CLIP4	ast	
245	1842	1043.5	ABHD2	ast	
1001	1088	1044.5	TMEM106B	ast	
455	1635	1045	PCDH10	ast	
1357	734	1045.5	ZNF644	ast	
808	1284	1046	FGD4	ast	
932	1160	1046	ME1	ast	
1298	797	1047.5	TTC17	ast	
534	1562	1048	HNRNPA1	ast	
1070	1026	1048	KMT2E	ast	
1406	699	1052.5	ACADM	ast	
506	1601	1053.5	TLR4	ast	
711	1397	1054	GPC5	ast	
1203	907	1055	IQGAP1	ast	
1191	921	1056	KDM5B	ast	
908	1208	1058	PAICS	ast	
1461	658	1059.5	IQCA1	ast	
1625	494	1059.5	PPP3CA	ast	
1083	1037	1060	PHKB	ast	
575	1549	1062	PHF3	ast	
1416	712	1064	DZIP3	ast	
1239	889	1064	YWHAB	ast	
1329	803	1066	RSRC2	ast	
1586	546	1066	SDCBP	ast	
943	1191	1067	SCP2	ast	
1403	736	1069.5	FAM208A	ast	
1693	449	1071	MDH1	ast	
1040	1103	1071.5	RAN	ast	
1569	575	1072	SBNO1	ast	
1524	623	1073.5	RNF13	ast	
806	1342	1074	MCC	ast	
975	1173	1074	TM9SF2	ast	
895	1255	1075	WHSC1L1	ast	
1676	475	1075.5	PAFAH1B2	ast	
1665	487	1076	ARID2	ast	
1156	1000	1078	KIAA0319	ast	
1448	709	1078.5	VPS35	ast	
853	1313	1083	MLLT4	ast	
488	1678	1083	RAB6A	ast	
991	1176	1083.5	DYNC1I2	ast	
1825	342	1083.5	PIP4K2A	ast	
1280	893	1086.5	DAPK1	ast	
548	1625	1086.5	SEMA6D	ast	
712	1465	1088.5	REPS1	ast	
2005	175	1090	HERPUD1	ast	
672	1511	1091.5	DPYSL3	ast	
1399	784	1091.5	RAB18	ast	
86	2100	1093	AHNAK	ast	
812	1381	1096.5	CS	ast	
1549	647	1098	CAPZA2	ast	
965	1237	1101	PSMD1	ast	
1268	935	1101.5	DNM1L	ast	
1176	1029	1102.5	PCDH7	ast	
1372	838	1105	LONRF2	ast	
1812	398	1105	TSPYL1	ast	
1018	1195	1106.5	KIAA2026	ast	
1837	377	1107	GON4L	ast	
587	1628	1107.5	NAV1	ast	
1219	1003	1111	DUSP1	ast	
2013	212	1112.5	CACUL1	ast	
1023	1205	1114	NPEPPS	ast	
1441	787	1114	PTPN4	ast	
695	1533	1114	SH3GLB1	ast	
379	1851	1115	EID1	ast	
1456	778	1117	ZRANB2	ast	
1123	1117	1120	DENND4C	ast	
680	1561	1120.5	RPL7	ast	
931	1310	1120.5	SIK3	ast	
1299	943	1121	PSIP1	ast	
1493	752	1122.5	RBMX	ast	
1226	1020	1123	HIGD1A	ast	
1499	751	1125	PPIG	ast	
1761	489	1125	ZNF518A	ast	
997	1257	1127	RP11-437J2.3	ast	
1052	1206	1129	TTN	ast	
1003	1256	1129.5	NSD1	ast	
664	1599	1131.5	CCSER2	ast	
1369	896	1132.5	CHPT1	ast	
1342	927	1134.5	CSNK2A1	ast	
1089	1181	1135	EIF2AK2	ast	
1500	770	1135	TP53BP1	ast	
1279	996	1137.5	PIKFYVE	ast	
1351	926	1138.5	TTC37	ast	
1363	919	1141	MPP6	ast	
1243	1039	1141	ZKSCAN1	ast	
1609	681	1145	TM9SF3	ast	
1248	1044	1146	TRIP11	ast	
1430	862	1146	YME1L1	ast	
681	1614	1147.5	NCOA2	ast	
1354	942	1148	FER	ast	
1252	1045	1148.5	LANCL1	ast	
1628	670	1149	TCP1	ast	
1170	1131	1150.5	CNDP2	ast	
1061	1242	1151.5	ACSS1	ast	
979	1324	1151.5	TMED8	ast	
1671	636	1153.5	THRAP3	ast	
640	1668	1154	DCHS2	ast	
1656	653	1154.5	COX7B	ast	
615	1694	1154.5	SPRED1	ast	
1377	932	1154.5	WDR7	ast	
1092	1217	1154.5	XPO1	ast	
543	1775	1159	PCGF5	ast	
699	1623	1161	MAP1LC3B	ast	
1030	1295	1162.5	ANXA5	ast	
510	1815	1162.5	PSD3	ast	
1164	1163	1163.5	PUM1	ast	
1687	648	1167.5	SELENBP1	ast	
724	1615	1169.5	HIPK1	ast	
1556	786	1171	SCAPER	ast	
475	1871	1173	DPY19L3	ast	
1145	1201	1173	LINC00461	ast	
485	1861	1173	SLC44A2	ast	
2184	164	1174	ANKRD10	ast	
1454	894	1174	PDE4D	ast	
2272	78	1175	CAPZA1	ast	
1708	643	1175.5	CD46	ast	
890	1461	1175.5	KIF5A	ast	
1529	825	1177	CAMTA1	ast	
1482	874	1178	ATM	ast	
1580	777	1178.5	PFN2	ast	
687	1673	1180	FAM199X	ast	
1022	1338	1180	IPO9	ast	
1229	1134	1181.5	MED13L	ast	
1272	1091	1181.5	ZDHHC21	ast	
846	1519	1182.5	NUFIP2	ast	
1417	951	1184	AGO3	ast	
1692	678	1185	ZNF91	ast	
287	2086	1186.5	GNAO1	ast	
1284	1090	1187	NHS	ast	
1103	1272	1187.5	EFR3A	ast	
1276	1102	1189	HRSP12	ast	
2093	285	1189	THOC2	ast	
517	1862	1189.5	TMED10	ast	
1424	957	1190.5	RNF219-AS1	ast	
1254	1128	1191	LMAN1	ast	
1469	914	1191.5	DECR1	ast	
1189	1194	1191.5	PNN	ast	
1037	1348	1192.5	ZBTB37	ast	
1547	840	1193.5	GARNL3	ast	
1355	1034	1194.5	ATP6V1A	ast	
425	1965	1195	EPB41L2	ast	
532	1859	1195.5	STARD7	ast	
1	1	1	MT-RNR2	end	
2	3	2.5	MT-RNR1	end	
3	6	4.5	MT-CO1	end	
7	4	5.5	MT-CYB	end	
6	5	5.5	MT-ND4	end	
4	9	6.5	MT-CO2	end	
5	13	9	MT-CO3	end	
18	2	10	MALAT1	end	
10	14	12	MT-ND2	end	
13	17	15	MT-ATP6	end	
9	26	17.5	MT-ND1	end	
26	11	18.5	EGR1	end	
11	31	21	MT-ND5	end	
20	24	22	APOLD1	end	
32	15	23.5	EEF1A1	end	
14	41	27.5	RGS5	end	
37	21	29	FOS	end	
19	40	29.5	SPARCL1	end	
40	29	34.5	TACC1	end	
68	8	38	HSP90AA1	end	
22	57	39.5	FOSB	end	
16	65	40.5	A2M	end	
21	66	43.5	FN1	end	
76	12	44	HSP90AB1	end	
67	22	44.5	HSPA8	end	
72	19	45.5	B2M	end	
31	63	47	ATP1A2	end	
44	50	47	DUSP1	end	
42	54	48	EIF4G2	end	
25	75	50	SPTBN1	end	
85	16	50.5	APOD	end	
41	60	50.5	UBC	end	
55	58	56.5	ITM2A	end	
61	53	57	KLF6	end	
88	30	59	EIF1	end	
60	64	62	ABCG2	end	
105	23	64	DCN	end	
118	10	64	SAT1	end	
36	92	64	SPARC	end	
53	78	65.5	ACTB	end	
78	59	68.5	STOM	end	
15	123	69	TPT1	end	
95	45	70	TSC22D1	end	
91	55	73	RPL3	end	
80	68	74	SLC38A2	end	
59	98	78.5	RHOA	end	
131	27	79	DDX5	end	
96	62	79	RPL15	end	
129	36	82.5	MAP1B	end	
120	52	86	JMJD1C	end	
28	145	86.5	FLT1	end	
148	25	86.5	SRSF3	end	
125	49	87	DPYSL2	end	
102	72	87	EIF4A2	end	
136	39	87.5	DNAJA1	end	
46	134	90	SLC39A10	end	
137	46	91.5	DDX3X	end	
176	7	91.5	NEAT1	end	
156	28	92	FTL	end	
173	18	95.5	H3F3B	end	
66	137	101.5	SDPR	end	
39	164	101.5	ZFP36	end	
113	91	102	NFKBIA	end	
82	124	103	CALM1	end	
175	32	103.5	CXCL8	end	
134	77	105.5	CCNL1	end	
49	163	106	GNAS	end	
133	79	106	PTMA	end	
108	109	108.5	SYNE1	end	
164	61	112.5	HERPUD1	end	
104	127	115.5	RPS6	end	
198	37	117.5	CALM2	end	
159	76	117.5	KLF4	end	
92	143	117.5	VIM	end	
12	224	118	MT-ND4L	end	
141	95	118	TMBIM6	end	
174	69	121.5	GLUL	end	
115	130	122.5	RPL5	end	
58	188	123	MBP	end	
140	107	123.5	MYL6	end	
177	82	129.5	IFITM3	end	
62	198	130	SRGN	end	
47	214	130.5	RPS27	end	
191	71	131	ZFAND5	end	
245	35	140	PTEN	end	
24	258	141	NET1	end	
97	186	141.5	IL6ST	end	
130	161	145.5	GAPDH	end	
196	99	147.5	TM4SF1	end	
71	227	149	MT-ATP8	end	
106	193	149.5	RPL7	end	
167	133	150	AKAP12	end	
87	219	153	MCL1	end	
222	84	153	SLC2A3	end	
267	42	154.5	PTN	end	
200	110	155	YWHAZ	end	
75	240	157.5	BTG2	end	
84	238	161	MACF1	end	
184	141	162.5	RPL21	end	
119	207	163	TSC22D3	end	
142	191	166.5	SERINC1	end	
35	299	167	EPAS1	end	
107	230	168.5	IFI44L	end	
43	297	170	MT-ND6	end	
293	48	170.5	HNRNPA2B1	end	
202	142	172	LDHA	end	
100	251	175.5	SLC6A1	end	
70	285	177.5	PTPRB	end	
205	151	178	RPL10	end	
29	333	181	MTATP6P1	end	
188	177	182.5	ZBTB38	end	
284	90	187	EMP1	end	
209	169	189	QKI	end	
231	150	190.5	HSP90B1	end	
272	114	193	DNAJB1	end	
233	159	196	TMSB4X	end	
294	106	200	SLC12A2	end	
217	184	200.5	SRSF5	end	
165	239	202	PRRC2C	end	
216	189	202.5	RBM39	end	
232	176	204	NAMPT	end	
207	202	204.5	CTGF	end	
124	287	205.5	TFRC	end	
166	248	207	ITM2B	end	
160	255	207.5	CSDE1	end	
186	232	209	ATP5B	end	
338	93	215.5	TCF4	end	
69	363	216	ABLIM1	end	
168	265	216.5	RPL4	end	
110	326	218	ARHGEF12	end	
340	96	218	HNRNPU	end	
290	149	219.5	SGK1	end	
171	281	226	RPL13A	end	
77	376	226.5	COBLL1	end	
38	415	226.5	SLC2A1	end	
310	144	227	FOXP1	end	
149	308	228.5	IQGAP1	end	
83	375	229	PECAM1	end	
178	283	230.5	SYNE2	end	
238	226	232	CALD1	end	
266	203	234.5	PABPC1	end	
280	192	236	ANXA1	end	
311	173	242	ADAR	end	
243	244	243.5	DST	end	
380	111	245.5	SFPQ	end	
64	431	247.5	RPS11	end	
93	405	249	GPR116	end	
276	225	250.5	LHFP	end	
329	174	251.5	TUBA1A	end	
201	305	253	RPL23	end	
322	185	253.5	SON	end	
218	293	255.5	PARP14	end	
387	135	261	NPM1	end	
319	211	265	DLC1	end	
139	393	266	BMPR2	end	
449	89	269	HSPA5	end	
230	322	276	RB1CC1	end	
388	165	276.5	HNRNPDL	end	
98	455	276.5	SLCO1A2	end	
321	234	277.5	PCM1	end	
56	505	280.5	PODXL	end	
542	20	281	PLP1	end	
244	330	287	DYNC1H1	end	
333	241	287	HNRNPA1	end	
153	426	289.5	SORT1	end	
353	233	293	ANKRD17	end	
154	435	294.5	TIPARP	end	
378	213	295.5	IFNGR1	end	
403	190	296.5	UBE2D3	end	
145	452	298.5	RPS27A	end	
172	427	299.5	RAC1	end	
229	371	300	TPM1	end	
357	245	301	RPS18	end	
535	70	302.5	SRSF7	end	
527	85	306	ELL2	end	
228	384	306	MYO1B	end	
475	138	306.5	CLU	end	
526	87	306.5	SOD2	end	
326	288	307	CPE	end	
498	117	307.5	HNRNPC	end	
342	273	307.5	RIMKLB	end	
569	47	308	HSPH1	end	
482	136	309	KLF9	end	
285	334	309.5	SF3B1	end	
254	374	314	AFF4	end	
337	291	314	PTPRG	end	
428	201	314.5	EPS8	end	
185	445	315	VWF	end	
224	408	316	CTNNB1	end	
485	148	316.5	RTN4	end	
63	574	318.5	UTRN	end	
109	530	319.5	RPS4X	end	
539	102	320.5	SDCBP	end	
523	128	325.5	CLK1	end	
204	450	327	MFSD2A	end	
182	474	328	RPL19	end	
503	153	328	WSB1	end	
287	370	328.5	PDK4	end	
518	140	329	BCLAF1	end	
369	289	329	TRA2B	end	
48	613	330.5	DOCK9	end	
192	470	331	TTN	end	
30	634	332	SLC1A2	end	
405	261	333	NKTR	end	
351	319	335	DAZAP2	end	
492	179	335.5	ATF4	end	
195	476	335.5	SEPT2	end	
236	441	338.5	ARHGAP29	end	
86	592	339	FAM107A	end	
282	400	341	PPIA	end	
590	101	345.5	PPP1R15B	end	
578	120	349	EIF5	end	
443	260	351.5	APBB2	end	
356	355	355.5	BPTF	end	
411	303	357	ANXA5	end	
203	511	357	JAM2	end	
278	437	357.5	CLIC4	end	
89	629	359	MTUS1	end	
398	323	360.5	ZEB2	end	
493	229	361	ACTG1	end	
157	567	362	RPS13	end	
259	471	365	SLC1A3	end	
396	340	368	DSTN	end	
23	719	371	RHOB	end	
138	606	372	SPTAN1	end	
210	534	372	ST6GAL1	end	
155	590	372.5	KIF1B	end	
626	119	372.5	SKP1	end	
161	587	374	RPS20	end	
315	438	376.5	UACA	end	
376	378	377	TMSB10	end	
363	394	378.5	ANKRD12	end	
94	663	378.5	RPL9	end	
214	543	378.5	SLC6A12	end	
638	121	379.5	LINC00657	end	
457	306	381.5	CDC42BPA	end	
251	512	381.5	CHD9	end	
181	584	382.5	MSN	end	
226	544	385	MAP4	end	
521	256	388.5	CD59	end	
745	38	391.5	HNRNPH1	end	
320	467	393.5	JAK1	end	
646	147	396.5	SEPT7	end	
621	172	396.5	SRSF2	end	
117	678	397.5	ITGA6	end	
275	522	398.5	KTN1	end	
234	565	399.5	BHLHE40	end	
399	404	401.5	MARCH6	end	
309	497	403	HUWE1	end	
235	572	403.5	CD34	end	
461	351	406	GOLGB1	end	
450	369	409.5	PRELP	end	
81	743	412	DDX17	end	
179	651	415	ABCB1	end	
478	352	415	RPLP1	end	
249	589	419	NEDD9	end	
512	329	420.5	IFI27	end	
509	332	420.5	NFIA	end	
220	621	420.5	RPS8	end	
484	364	424	TTC3	end	
223	626	424.5	SASH1	end	
694	155	424.5	ZC3HAV1	end	
262	588	425	KIF5B	end	
650	205	427.5	PLK2	end	
532	325	428.5	RAD21	end	
345	514	429.5	NACA	end	
416	443	429.5	PNRC1	end	
45	818	431.5	RPL31	end	
114	754	434	LAPTM4A	end	
323	546	434.5	ASH1L	end	
123	749	436	ITIH5	end	
199	673	436	NDUFA4	end	
579	295	437	RPS3	end	
350	524	437	SEPT11	end	
842	33	437.5	PPP1CB	end	
377	501	439	NFIB	end	
603	276	439.5	POMP	end	
193	689	441	RPS3A	end	
99	788	443.5	TPM3	end	
408	479	443.5	VCL	end	
658	231	444.5	CRIM1	end	
128	762	445	PPFIBP1	end	
584	309	446.5	DAB2	end	
799	94	446.5	MORF4L1	end	
682	212	447	IRF2BP2	end	
645	250	447.5	CAST	end	
609	286	447.5	CTNNA1	end	
809	86	447.5	NAP1L1	end	
212	686	449	TPM4	end	
169	731	450	ZEB1	end	
495	407	451	SRP14	end	
604	301	452.5	VAPA	end	
594	313	453.5	SORBS2	end	
666	242	454	RBBP6	end	
297	619	458	TBC1D4	end	
257	665	461	HIPK3	end	
256	669	462.5	CD46	end	
671	254	462.5	RANBP2	end	
328	601	464.5	TXNIP	end	
807	129	468	CDH6	end	
516	424	470	PTK2	end	
786	156	471	TMEM59	end	
505	447	476	HP1BP3	end	
445	508	476.5	CYCS	end	
753	200	476.5	GNB2L1	end	
162	793	477.5	CDKN1A	end	
465	491	478	CLTC	end	
795	166	480.5	TNFAIP3	end	
543	419	481	MYL12A	end	
840	122	481	NXF1	end	
664	307	485.5	CREBBP	end	
489	482	485.5	TMEM2	end	
404	568	486	HERC2P2	end	
453	519	486	KMT2E	end	
719	257	488	EIF4B	end	
270	707	488.5	ITGA1	end	
742	236	489	NFKBIZ	end	
385	594	489.5	KMT2C	end	
945	34	489.5	SRSF6	end	
732	249	490.5	SENP6	end	
474	507	490.5	TAOK1	end	
911	73	492	TPI1	end	
676	315	495.5	SEC31A	end	
787	209	498	SH3BGRL	end	
121	876	498.5	HEG1	end	
654	346	500	CD63	end	
591	409	500	RPS14	end	
640	361	500.5	YWHAB	end	
103	899	501	TNS1	end	
585	418	501.5	SLC25A3	end	
147	858	502.5	IDS	end	
544	462	503	CHSY1	end	
900	108	504	VMP1	end	
401	611	506	ACSL3	end	
592	428	510	MAP4K4	end	
494	526	510	PPP1R15A	end	
622	402	512	HNRNPH3	end	
705	320	512.5	ZC3H11A	end	
346	680	513	FRYL	end	
808	218	513	HECTD1	end	
306	727	516.5	RPL11	end	
827	215	521	SERPING1	end	
454	593	523.5	SMCHD1	end	
364	685	524.5	PSAP	end	
583	477	530	DUSP6	end	
296	764	530	EIF4EBP2	end	
898	162	530	PPP1R12A	end	
530	533	531.5	RBM3	end	
410	653	531.5	RPL12	end	
519	548	533.5	NR3C1	end	
730	345	537.5	RNASE1	end	
341	734	537.5	RPL35A	end	
902	180	541	CLDND1	end	
433	650	541.5	RPL41	end	
1039	51	545	C6ORF62	end	
508	586	547	LPP	end	
334	761	547.5	CFLAR	end	
1003	100	551.5	H2AFZ	end	
436	667	551.5	RAPGEF2	end	
756	349	552.5	KLF10	end	
360	748	554	MAP1LC3B	end	
920	195	557.5	PCDH9	end	
908	208	558	ANXA2	end	
629	487	558	BRD2	end	
33	1086	559.5	AHNAK	end	
152	968	560	NCL	end	
606	515	560.5	ZFHX3	end	
850	272	561	NR4A2	end	
610	513	561.5	GPBP1	end	
575	552	563.5	CXCL2	end	
633	495	564	HNRNPA3	end	
926	204	565	ATRX	end	
838	292	565	SPAG9	end	
540	591	565.5	CHD2	end	
430	706	568	SPEN	end	
366	774	570	SOS1	end	
605	539	572	BAZ2B	end	
437	708	572.5	RNF213	end	
316	831	573.5	KMT2A	end	
889	259	574	PRKAR1A	end	
241	911	576	RPS12	end	
833	321	577	DMD	end	
597	559	578	JUND	end	
751	406	578.5	LIMCH1	end	
680	485	582.5	YWHAQ	end	
132	1034	583	PRDM1	end	
608	566	587	LDHB	end	
206	969	587.5	CANX	end	
187	988	587.5	PICALM	end	
79	1097	588	JUN	end	
252	929	590.5	HIPK2	end	
496	687	591.5	ARPC2	end	
752	436	594	TAX1BP1	end	
553	637	595	PJA2	end	
615	575	595	TRIO	end	
289	902	595.5	RPL27	end	
846	350	598	SNHG5	end	
127	1070	598.5	RPS25	end	
561	642	601.5	HNRNPK	end	
901	302	601.5	PNISR	end	
470	735	602.5	ARFGEF2	end	
684	523	603.5	HIPK1	end	
899	310	604.5	ZFP36L1	end	
391	819	605	MYL12B	end	
417	794	605.5	RPL14	end	
933	282	607.5	ARIH1	end	
937	278	607.5	MAPRE2	end	
942	279	610.5	RPLP0	end	
1048	175	611.5	PON2	end	
488	738	613	CNN3	end	
490	737	613.5	EEF1B2	end	
227	1003	615	RPL37	end	
866	377	621.5	GNAI3	end	
577	670	623.5	SETD5	end	
582	666	624	ABI2	end	
414	838	626	RTN3	end	
34	1220	627	MT-ND3	end	
743	529	636	RBM25	end	
811	463	637	ATF3	end	
701	580	640.5	NCOR1	end	
763	518	640.5	RAN	end	
379	920	649.5	ZNF638	end	
1147	154	650.5	CFH	end	
1104	197	650.5	CNOT2	end	
1155	146	650.5	MORF4L2	end	
816	489	652.5	RPL34	end	
90	1218	654	APP	end	
255	1054	654.5	MKL2	end	
912	399	655.5	CYLD	end	
383	942	662.5	NIPBL	end	
1066	263	664.5	TOR1AIP2	end	
111	1221	666	SEC14L1	end	
979	357	668	SRRM1	end	
989	348	668.5	ARL6IP1	end	
721	617	669	MBNL2	end	
246	1093	669.5	APLP2	end	
554	786	670	HBEGF	end	
344	996	670	RPL24	end	
668	674	671	PRDM2	end	
563	781	672	VPS13C	end	
685	662	673.5	MYO6	end	
614	736	675	WHSC1L1	end	
448	906	677	RPS23	end	
1198	157	677.5	AKAP9	end	
327	1029	678	PPP1R10	end	
308	1048	678	SERINC5	end	
890	468	679	CYSLTR2	end	
189	1169	679	WNK1	end	
725	636	680.5	RUNDC3B	end	
571	791	681	BGN	end	
372	994	683	GPM6A	end	
412	959	685.5	COX4I1	end	
1162	223	692.5	SLC7A11	end	
637	750	693.5	CDC42	end	
669	718	693.5	IVNS1ABP	end	
444	946	695	LAMA2	end	
1120	271	695.5	YME1L1	end	
703	690	696.5	CNBP	end	
665	728	696.5	MLLT4	end	
1004	389	696.5	NASP	end	
1059	335	697	ELMSAN1	end	
859	537	698	HADHA	end	
73	1323	698	KIAA1462	end	
291	1110	700.5	NUCKS1	end	
268	1138	703	NTRK2	end	
548	859	703.5	PHF3	end	
713	698	705.5	YBX3	end	
1060	353	706.5	SEC62	end	
392	1025	708.5	IGF1R	end	
446	973	709.5	RPS16	end	
1377	44	710.5	INTS6	end	
425	997	711	ATP2A2	end	
286	1143	714.5	ATP1B2	end	
283	1146	714.5	RPL30	end	
1008	423	715.5	MEG3	end	
573	863	718	SCD	end	
506	930	718	USP34	end	
679	757	718	USP9X	end	
335	1104	719.5	MYH9	end	
1383	56	719.5	TOB1	end	
885	555	720	AKAP13	end	
427	1014	720.5	ETS1	end	
798	644	721	B4GALT1	end	
630	813	721.5	DDX18	end	
298	1145	721.5	FAXDC2	end	
324	1119	721.5	SLC20A2	end	
843	600	721.5	USP24	end	
770	676	723	ZC3H13	end	
354	1098	726	RPL7A	end	
415	1039	727	WAC	end	
441	1015	728	WWTR1	end	
632	827	729.5	MXI1	end	
413	1051	732	ATP1A1	end	
921	545	733	LAMP2	end	
1180	290	735	CCDC88A	end	
735	740	737.5	TM4SF18	end	
873	608	740.5	ADD1	end	
473	1013	743	EMP2	end	
760	726	743	SERPINB6	end	
1029	461	745	TROVE2	end	
122	1369	745.5	TGM2	end	
511	982	746.5	RPL32	end	
620	875	747.5	COX6A1	end	
841	656	748.5	XRN1	end	
1328	170	749	RBMS3	end	
855	643	749	UBR3	end	
1145	356	750.5	CPEB4	end	
762	739	750.5	IFI44	end	
996	510	753	ZMYM2	end	
722	787	754.5	RPS7	end	
1055	456	755.5	HDLBP	end	
501	1010	755.5	POGZ	end	
813	699	756	PCF11	end	
601	912	756.5	MBNL1	end	
1117	397	757	CA2	end	
907	607	757	HIF1A	end	
1261	253	757	TCP1	end	
440	1077	758.5	FKBP5	end	
1177	344	760.5	SUGT1	end	
565	958	761.5	MED13	end	
507	1016	761.5	MYCBP2	end	
708	817	762.5	SESTD1	end	
101	1426	763.5	CCNI	end	
871	657	764	MEF2C	end	
242	1288	765	SERINC3	end	
247	1285	766	RAB7A	end	
305	1230	767.5	NCOA1	end	
988	549	768.5	PHF10	end	
1154	387	770.5	DENND4A	end	
677	864	770.5	YWHAG	end	
1246	298	772	SELE	end	
1024	525	774.5	GAS5	end	
711	842	776.5	CASC4	end	
1217	338	777.5	PLCE1	end	
384	1172	778	SCARB2	end	
704	853	778.5	CNOT6L	end	
213	1344	778.5	RGCC	end	
240	1318	779	RPL6	end	
219	1342	780.5	USP54	end	
641	921	781	MAP1A	end	
766	800	783	CYR61	end	
817	752	784.5	GPM6B	end	
537	1033	785	ITGB1	end	
1400	171	785.5	HSPD1	end	
1125	446	785.5	RSRC2	end	
717	855	786	SNRK	end	
1357	217	787	GOLGA4	end	
1463	112	787.5	ARRDC3	end	
502	1080	791	CCND2	end	
815	767	791	EBF1	end	
660	923	791.5	AHCYL2	end	
648	938	793	AHCYL1	end	
1410	181	795.5	SLC25A5	end	
789	807	798	EPHA4	end	
792	804	798	PUM2	end	
477	1125	801	KDM3A	end	
1208	395	801.5	PHACTR2	end	
564	1041	802.5	ANKS1A	end	
1183	422	802.5	ZBTB10	end	
818	789	803.5	SP100	end	
1149	458	803.5	TNRC6B	end	
860	751	805.5	PDCD4	end	
1350	266	808	IFI16	end	
993	624	808.5	NID1	end	
686	937	811.5	DDX6	end	
1446	178	812	ARF4	end	
599	1026	812.5	C2CD2	end	
371	1254	812.5	RAP1A	end	
1017	610	813.5	MAPK1IP1L	end	
1249	380	814.5	ALDOA	end	
163	1474	818.5	LIFR	end	
524	1113	818.5	SLK	end	
616	1022	819	DICER1	end	
1322	318	820	SRSF11	end	
765	878	821.5	ZNFX1	end	
1034	612	823	CHP1	end	
779	871	825	ANK2	end	
803	849	826	ATP5A1	end	
726	927	826.5	PFDN5	end	
331	1324	827.5	PDZD2	end	
419	1240	829.5	LPHN2	end	
452	1209	830.5	MGEA5	end	
1232	430	831	SMARCA5	end	
534	1129	831.5	ELF1	end	
348	1316	832	UBA52	end	
683	984	833.5	H2AFV	end	
1519	152	835.5	IFRD1	end	
429	1247	838	PLXDC1	end	
649	1028	838.5	PGK1	end	
1310	372	841	CDV3	end	
835	847	841	N4BP2L2	end	
1605	80	842.5	TSPYL1	end	
991	696	843.5	PLS3	end	
546	1142	844	TGOLN2	end	
504	1185	844.5	SESN3	end	
1276	414	845	PPP6R3	end	
499	1192	845.5	PTTG1IP	end	
909	782	845.5	YES1	end	
1392	300	846	PMP22	end	
924	771	847.5	FNDC3A	end	
572	1130	851	HOOK3	end	
273	1438	855.5	SORBS1	end	
1526	187	856.5	RAB21	end	
985	729	857	ST13	end	
875	841	858	UBXN4	end	
1379	342	860.5	ZNF451	end	
1018	704	861	DYNLL1	end	
260	1465	862.5	PIK3C2A	end	
1224	504	864	BLCAP	end	
57	1673	865	APC	end	
1359	373	866	EIF3I	end	
1077	658	867.5	SOD1	end	
248	1488	868	ARPP19	end	
1160	577	868.5	SSR3	end	
844	894	869	XRCC5	end	
1090	649	869.5	KIDINS220	end	
837	904	870.5	RASAL2	end	
1185	556	870.5	SEPW1	end	
194	1549	871.5	RPL37A	end	
769	986	877.5	STARD7	end	
764	992	878	MGA	end	
1041	715	878	SNHG14	end	
1442	317	879.5	LUC7L3	end	
1222	538	880	PTPN14	end	
1064	701	882.5	SGCB	end	
1293	475	884	MT2A	end	
839	933	886	FSTL1	end	
878	898	888	BTG1	end	
1014	763	888.5	PPP1R12B	end	
715	1064	889.5	LAMA4	end	
221	1564	892.5	RBMS2	end	
1399	386	892.5	SCAF11	end	
1699	88	893.5	RND3	end	
467	1329	898	ZKSCAN1	end	
