Table S1f Top ranked cell type-expressed genes based on mouse data						
						
Zhang2014_rank	Zeisel2014_rank	Tasic2016_rank	grand_rank	gene	Celltype	
4620	950	748	950	NDUFA9	ast	
951	479	1893	951	TMEM106B	ast	
1835	952	472	952	ERGIC3	ast	
465	1479	953	953	NPC1	ast	
1334	519	955	955	DHRS1	ast	
478	955	1472	955	MARCH6	ast	
4969	368	956	956	PSMA2	ast	
532	957	5978	957	TP53INP2	ast	
958	1894	568	958	GPLD1	ast	
170	958	4700	958	SASH1	ast	
484	959	3125	959	AFF4	ast	
5646	137	959	959	ATP5J2	ast	
961	771	4162	961	HACD2	ast	
758	963	3908	963	RHOQ	ast	
500	964	3486	964	FAM168B	ast	
964	344	1243	964	FMN2	ast	
3522	764	964	964	PSMC5	ast	
3165	528	966	966	DAD1	ast	
345	966	4100	966	FUS	ast	
1111	967	185	967	CROT	ast	
967	947	4140	967	FYN	ast	
3581	968	636	968	CNR1	ast	
399	2242	969	969	PCYT2	ast	
6193	971	961	971	MAPK10	ast	
937	972	5009	972	GNB2	ast	
916	2074	973	973	UBN2	ast	
811	1042	975	975	DUSP11	ast	
975	730	2542	975	RAB6A	ast	
804	976	3835	976	SSFA2	ast	
289	1838	977	977	CCNL2	ast	
2250	978	609	978	ADHFE1	ast	
1793	911	978	978	RLBP1	ast	
4321	979	502	979	CNIH1	ast	
45	1009	980	980	BHLHE40	ast	
980	664	1167	980	ELMO2	ast	
982	727	1376	982	RORA	ast	
1478	983	583	983	SRPK2	ast	
2443	984	108	984	LGR4	ast	
629	3655	986	986	PTMA	ast	
1840	986	470	986	TANK	ast	
4505	877	987	987	ATP6V1G1	ast	
271	987	3418	987	CLSTN1	ast	
988	417	2462	988	TMEM30A	ast	
1643	990	740	990	TUBB	ast	
1094	993	578	993	BZW1	ast	
6133	995	858	995	CAV2	ast	
1385	289	995	995	KLF9	ast	
995	498	5156	995	PCDH17	ast	
997	731	1114	997	KMT2E	ast	
426	1205	999	999	TJP1	ast	
522	1000	6880	1000	OLIG1	ast	
3981	677	1004	1004	RAB9A	ast	
1005	3343	561	1005	CCNT2	ast	
220	1075	1005	1005	HNRNPDL	ast	
771	1005	1517	1005	NCL	ast	
1006	2346	697	1006	PSMD2	ast	
1009	765	1884	1009	TAB2	ast	
1293	539	1010	1010	CLCN4-2	ast	
3161	1011	654	1011	CHCHD3	ast	
1011	1144	797	1011	FUBP1	ast	
5303.5	1012	688	1012	TIMM17A	ast	
100	1014	2242	1014	RHOB	ast	
402	1015	2273	1015	ACSS1	ast	
6312	211	1017	1017	UQCR11	ast	
1020	2225	684	1020	ATF7IP	ast	
4715	1020	443	1020	NLGN3	ast	
1023	1056	826	1023	PHIP	ast	
309	1023	2185	1023	SFPQ	ast	
1024	628	2561	1024	ITFG1	ast	
755	1560	1026	1026	CHD9	ast	
1026	402	3647	1026	TRIM2	ast	
4077	1027	721	1027	VDAC3	ast	
987	3697	1029	1029	CLASP1	ast	
2547	895	1033	1033	DBX2	ast	
1033	1358	285	1033	SBNO1	ast	
5183	569	1035	1035	EMC2	ast	
2156	245	1036	1036	ATP6V1A	ast	
3104	589	1037	1037	PSMD7	ast	
900	3666	1038	1038	ANXA6	ast	
1021	3226	1039	1039	NFX1	ast	
3491	1041	506	1041	COPE	ast	
7487	486	1042	1042	NDUFA8	ast	
356	5528	1043	1043	DDX39B	ast	
274	1043	2693	1043	SLC30A10	ast	
765	1044	3144	1044	SEPT8	ast	
1004	1045	2495	1045	RHOA	ast	
1046	868	2794	1046	MID1IP1	ast	
4800	1047	984	1047	TONSL	ast	
1998	1050	535	1050	CCT5	ast	
1051	1119	349	1051	CCDC50	ast	
3468	1051	408	1051	CPQ	ast	
375	1052	2037	1052	GLG1	ast	
644	1233	1053	1053	CDIP1	ast	
3926	1054	435	1054	C11ORF58	ast	
1942	1055	749	1055	CYP2J2	ast	
1246	162	1055	1055	RPS9	ast	
1056	457	2780	1056	MTPN	ast	
222	1057	3102	1057	2610507B11RIK	ast	
568	3730	1057	1057	EOGT	ast	
1872	1058	648	1058	CCT8	ast	
1060	974	2116	1060	GLI3	ast	
363	1062	3733	1062	IGDCC4	ast	
6252	593	1062	1062	SF3B6	ast	
992	1762	1063	1063	CPSF6	ast	
5156	1063	664	1063	JKAMP	ast	
317	1139	1064	1064	TRIB2	ast	
451	1191	1066	1066	ANKRD11	ast	
1299	165	1067	1067	PURA	ast	
4218	1068	960	1068	BPGM	ast	
1068	378	2866	1068	RTN4	ast	
774	1070	2808	1070	TNRC6A	ast	
1070	592	3235	1070	TOP1	ast	
1072	1018	1094	1072	THOC2	ast	
4325	114	1073	1073	SCRG1	ast	
1074	1138	425	1074	RSRC2	ast	
1075	465	2416	1075	CAPN2	ast	
450	7482	1075	1075	VCAN	ast	
1765	1078	841	1078	HSDL2	ast	
1078	1988	1070	1078	KCNIP3	ast	
2513	1080	488	1080	SPCS2	ast	
4009	86	1083	1083	COX6B1	ast	
2135	1083	899	1083	DLD	ast	
3076	133	1084	1084	COX6C	ast	
8347	206	1086	1086	HRSP12	ast	
1086	744	1744	1086	JAK1	ast	
5608	292	1087	1087	SCG5	ast	
944	1087	1531	1087	USP34	ast	
1235	1088	895	1088	NCOA1	ast	
1939	222	1089	1089	CAMK2N1	ast	
2194	1089	691	1089	VPS35	ast	
1090	3782	1052	1090	PRPF39	ast	
1091	922	5463	1091	CDC42EP4	ast	
1092	4627	786	1092	LGR6	ast	
5930	1094	1012	1094	NXT2	ast	
6883	1095	571	1095	MAOB	ast	
911	1097	2680	1097	SLC2A1	ast	
6265	927	1099	1099	COMMD3	ast	
939	1102	1117	1102	EPS8	ast	
492	1269	1104	1104	ZFAND5	ast	
1106	650	1191	1106	NPAS3	ast	
1107	496	1721	1107	BMPR2	ast	
1991	772	1107	1107	IVD	ast	
6388	542	1110	1110	NDUFV3	ast	
3290	1112	1040	1112	FBXO44	ast	
1114	1421	918	1114	DAB1	ast	
1118	1114	161	1114	STRBP	ast	
1115	3250	971	1115	DYRK1A	ast	
4817	1115	880	1115	PSMA1	ast	
1369	547	1115	1115	SEC62	ast	
1963	1116	440	1116	CTSA	ast	
432	1117	1332	1117	ATP8A1	ast	
1993	1118	433	1118	COX4I1	ast	
8049	747	1118	1118	MRPS14	ast	
455	1120	1237	1120	PAQR7	ast	
1122	1565	396	1122	COPB1	ast	
787	1582	1122	1122	MGA	ast	
784	2148	1123	1123	PSD3	ast	
731	1123	1358	1123	UBA1	ast	
836	1124	1514	1124	PDLIM5	ast	
1126	3254	676	1126	IP6K1	ast	
445	1214	1127	1127	TLCD1	ast	
398	1128	1748	1128	DENND5A	ast	
1128	372	1506	1128	MTDH	ast	
1484	1129	566	1129	WBP2	ast	
1130	1029	4324	1130	TGFB2	ast	
3385	596	1132	1132	PSPH	ast	
1132	424	1325	1132	SFXN1	ast	
708	1133	6062	1133	BTBD17	ast	
969	1945	1133	1133	SALL3	ast	
965	1134	1314	1134	NPEPPS	ast	
1755	1040	1134	1134	SSB	ast	
1135	1754	1119	1135	IVNS1ABP	ast	
4388	1135	852	1135	PEX2	ast	
2254	1074	1135	1135	PMVK	ast	
694	1674	1136	1136	ARID1A	ast	
173	1136	2697	1136	ATF4	ast	
494	1137	3151	1137	TMEM44	ast	
1138	799	1977	1138	KIAA1191	ast	
1431	641	1138	1138	NACA2	ast	
2915	621	1139	1139	ECHS1	ast	
1144	3562	622	1144	PDCD4	ast	
75	1145	3574	1145	FASN	ast	
1875	722	1145	1145	RFTN2	ast	
337	1147	5288	1147	NEO1	ast	
1150	2309	855	1150	ARF1	ast	
5963	898	1151	1151	E130114P18RIK	ast	
986	1151	4818	1151	VIM	ast	
5459	1154	1046	1154	NDP	ast	
1154	820	2327	1154	RPL13A	ast	
2322	1155	820	1155	PPARGC1A	ast	
1008	1767	1156	1156	BRWD1	ast	
4176	1148	1157	1157	2700089E24RIK	ast	
929	1158	2710	1158	HP1BP3	ast	
2132	774	1159	1159	DYNC1I2	ast	
1159	7581	637	1159	OAZ1	ast	
891	1596	1160	1160	ELOVL2	ast	
675	1160	5430	1160	MLF2	ast	
1160	526	2814	1160	RAB14	ast	
507	1404	1162	1162	DNMT3A	ast	
2233	1162	1129	1162	PEG3	ast	
1163	1580	970	1163	CHD8	ast	
928	1163	2887	1163	RBBP6	ast	
950	1164	3514	1164	ATRN	ast	
1124	1484	1164	1164	MFN1	ast	
1164	3366	823	1164	RPL7	ast	
1165	332	1569	1165	RPL8	ast	
1166	894	1867	1166	CHKA	ast	
1168	1474	660	1168	NIM1K	ast	
313	1169	1800	1169	HSP90AA1	ast	
1169	164	11024	1169	MIR6236	ast	
790	1445	1169	1169	TNPO1	ast	
1032	2853	1171	1171	PAMR1	ast	
850	1172	5321	1172	ACSS2	ast	
1173	2325	998	1173	ALKBH5	ast	
502	3403	1173	1173	TRRAP	ast	
2595	1174	547	1174	ATP6V0E2	ast	
968	1175	1458	1175	AGL	ast	
477	5951	1175	1175	PTP4A1	ast	
1176	1434	1060	1176	TFRC	ast	
5520	665	1176	1176	TMEM176A	ast	
6870	267	1178	1178	NDUFA3	ast	
3170	723	1179	1179	PSMC3	ast	
7376	1179	651	1179	WLS	ast	
7159	1181	121	1181	LRRC8A	ast	
4414	370	1182	1182	NDUFB11	ast	
1997	1182	355	1182	NDUFS1	ast	
5210	283	1183	1183	PLEKHB1	ast	
1311	1184	759	1184	GLDC	ast	
1202	1185	570	1185	IL18	ast	
752	3114	1186	1186	SRCAP	ast	
1190	597	2080	1190	MYL6	ast	
1303	1192	868	1192	RNF20	ast	
5056	667	1193	1193	CHMP2A	ast	
2013	1193	587	1193	LIFR	ast	
4221	1194	935	1194	ABHD6	ast	
1196	1272	272	1196	CSPP1	ast	
4216	1197	483	1197	OTUB1	ast	
121	1198	2337	1198	SLC7A10	ast	
3597	695	1199	1199	GLO1	ast	
874	5250	1200	1200	GDPD2	ast	
913	1201	5508	1201	SEC63	ast	
551	1529	1203	1203	KMT2A	ast	
247	1203	5190	1203	PLAT	ast	
1205	1905	481	1205	BRD8	ast	
868	2612	1205	1205	PPP1R9A	ast	
739	1206	2563	1206	CCSER2	ast	
4465	1026	1206	1206	ZFAND6	ast	
3867	1207	873	1207	PSMD11	ast	
32	1	1	1	MT-RNR2	end	
852	2	2	2	MALAT1	end	
17	4	6	6	MT-CYB	end	
4	7	9	7	MT-CO1	end	
16	10	4	10	ITM2A	end	
21	3	12	12	MT-ND1	end	
86	14	5	14	ACTB	end	
3	15	16	15	SPARC	end	
36	19	8	19	SPTBN1	end	
6	23	19	19	TMSB4Y	end	
254	5	21	21	MT-RNR1	end	
124	21	3	21	RGS5	end	
2	22	31	22	EEF1A1	end	
22	25	17	22	SPARCL1	end	
93	24	20	24	CALM1	end	
24	13	3537	24	LARS2	end	
45	18	25	25	MT-ND5	end	
27	20	34	27	FLT1	end	
10	36	27	27	SLCO1C1	end	
126	28	10	28	SLCO1A2	end	
1	29	35	29	BSG	end	
30	2847	28	30	HSPA8	end	
7	31	43	31	SEPP1	end	
29	41	33	33	HSP90AB1	end	
33	33	508	33	KDR	end	
128	12	37	37	MT-ND4	end	
37	204	18	37	PLTP	end	
49	6	38	38	MT-ND2	end	
5	38	258	38	RN18S-RS5	end	
301	43	22	43	B2M	end	
11	44	312	44	SLC16A1	end	
221	45	13	45	LY6E	end	
43	269	48	48	UBC	end	
54	108	47	54	ADGRL4	end	
25	54	96	54	SLC2A1	end	
55	9	479	55	HBB	end	
35	55	1314	55	JUN	end	
61	56	39	56	CD93	end	
56	37	459	56	DUSP1	end	
34	57	136	57	FOS	end	
19	62	62	62	FN1	end	
63	32	95	63	PTPRB	end	
65	27	263	65	APP	end	
66	50	153	66	RPS3	end	
67	60	1317	67	RPS7	end	
31	68	214	68	TSC22D1	end	
13	69	109	69	TFRC	end	
87	40	70	70	SLC6A6	end	
342	71	26	71	SGMS1	end	
53	75	986	75	SLC7A1	end	
23	76	551	76	APOLD1	end	
48	80	101	80	RPL4	end	
226	74	81	81	CST3	end	
213	82	74	82	CDC42	end	
98	64	82	82	ESAM	end	
83	61	284	83	RPS9	end	
12	84	548	84	COL4A1	end	
88	26	158	88	CTLA2A	end	
493	90	64	90	TM4SF1	end	
860	87	91	91	ATP1A2	end	
77	91	521	91	NAMPT	end	
74	93	140	93	MYL6	end	
94	42	1048	94	RPS24	end	
436	95	44	95	MYL12B	end	
59	97	154	97	CTNNB1	end	
165	81	100	100	AKR1A1	end	
100	167	23	100	CA4	end	
78	100	251	100	KLF6	end	
101	63	219	101	ABLIM1	end	
52	102	161	102	RPS14	end	
103	46	1501	103	EGR1	end	
258	51	104	104	GIMAP6	end	
64	106	105	105	ADGRF5	end	
18	109	276	109	FTH1	end	
270	110	58	110	SLC40A1	end	
242	79	111	111	CCDC141	end	
82	111	279	111	DDX5	end	
111	89	275	111	RPS11	end	
175	47	114	114	EPAS1	end	
106	114	1739	114	IGFBP7	end	
44	115	139	115	CD34	end	
117	73	1638	117	CYR61	end	
232	118	73	118	KITL	end	
179	119	50	119	ETS1	end	
337	59	120	120	QKI	end	
505	121	103	121	CALM2	end	
506	123	118	123	BMPR2	end	
636	124	85	124	SEPT7	end	
84	128	218	128	SLC39A10	end	
440	129	54	129	ABCG2	end	
158	88	129	129	KIAA1462	end	
129	1206	107	129	TUBA1A	end	
490	130	89	130	SRGN	end	
1632	131	94	131	ID3	end	
132	132	433	132	ARHGAP29	end	
102	6119	132	132	PPIA	end	
160	101	135	135	ABCB1	end	
118	136	477	136	RPS5	end	
136	160	45	136	TUBB	end	
338	138	55	138	ARL4A	end	
142	70	138	138	MYL12A	end	
139	134	1487	139	RPS16	end	
401	140	137	140	EIF4A2	end	
141	85	394	141	NFKBIA	end	
292	142	93	142	HNRNPA2B1	end	
151	143	7	143	LY6C1	end	
143	35	1541	143	RPL38	end	
216	145	117	145	SDCBP	end	
145	190	49	145	SLC22A8	end	
146	99	165	146	GPCPD1	end	
195	146	40	146	TEK	end	
147	228	142	147	ABHD2	end	
1778	147	134	147	SEMA3C	end	
148	94	809	148	PTPRG	end	
133	6632	148	148	RPL3	end	
168	96	149	149	SERINC3	end	
462	150	53	150	ECE1	end	
123	359	151	151	NEDD4	end	
529	152	32	152	VTN	end	
153	221	41	153	H3F3B	end	
302	154	116	154	PLS3	end	
217	92	155	155	CXCL12	end	
20	156	1305	156	COL4A2	end	
156	103	269	156	ITM2B	end	
658	157	130	157	PTN	end	
51	159	1271	159	GNAI2	end	
1510	149	159	159	RBM25	end	
161	245	145	161	MSN	end	
394	162	56	162	CD81	end	
163	107	1256	163	RPS20	end	
155	163	993	163	SGK1	end	
210	164	83	164	MYH9	end	
520	166	106	166	ANXA2	end	
60	2037	166	166	PKM	end	
220	144	168	168	MACF1	end	
170	259	157	170	SLC38A5	end	
68	170	238	170	SPTAN1	end	
548	172	86	172	CNBP	end	
121	174	393	174	RPL8	end	
97	276	176	176	TPM4	end	
140	178	2380	178	FOSB	end	
631	98	179	179	DYNLL1	end	
197	179	178	179	PROM1	end	
73	180	2681	180	SERPINH1	end	
255	181	170	181	EGFL7	end	
388	183	36	183	CANX	end	
107	184	1130	184	MFSD2A	end	
890	185	87	185	EMCN	end	
58	186	614	186	SLC38A2	end	
173	2692	190	190	EIF1	end	
191	113	1007	191	PRNP	end	
69	192	318	192	ITGB1	end	
192	141	344	192	RPL41	end	
72	231	194	194	EIF4G2	end	
95	194	252	194	HSPA5	end	
70	629	195	195	PECAM1	end	
26	195	923	195	SLC7A5	end	
439	125	199	199	RBM39	end	
200	200	496	200	ZFP36	end	
353	201	76	201	CLK1	end	
239	168	202	202	CAV1	end	
202	169	380	202	GLUL	end	
1258	205	60	205	CAV2	end	
219	175	206	206	DUSP6	end	
99	7484	207	207	RPL9	end	
1830	209	90	209	NFIB	end	
211	65	375	211	RPS19	end	
212	210	660	212	PODXL	end	
40	213	271	213	PLK2	end	
134	214	1723	214	NID1	end	
1300	77	215	215	C1ORF54	end	
1619	218	211	218	FOXP1	end	
282	219	212	219	HSP90B1	end	
757	220	167	220	ATRX	end	
57	222	267	222	VIM	end	
108	223	512	223	APLP2	end	
297	215	223	223	SF3B1	end	
225	187	693	225	FERMT2	end	
218	226	3754	226	EEF1B2	end	
46	229	2192	229	AGRN	end	
2846	230	217	230	ITIH5	end	
38	233	286	233	SLC3A2	end	
234	355	231	234	CALU	end	
231	239	235	235	BTG2	end	
112	235	374	235	RPS3A	end	
4981	122	236	236	ZBTB20	end	
5459	238	30	238	DPYSL2	end	
240	356	172	240	CTNNA1	end	
8	240	543	240	SPOCK2	end	
747	242	11	242	LY6A	end	
76	2180	243	243	PTMA	end	
243	258	67	243	YWHAE	end	
167	244	2313	244	ADAMTS1	end	
244	237	391	244	NACA2	end	
676	208	244	244	POMP	end	
172	548	246	246	LDHA	end	
246	246	514	246	TJP1	end	
206	248	1230	248	CPE	end	
250	262	127	250	MAOA	end	
75	252	768	252	GNB2L1	end	
190	253	1594	253	DDX3X	end	
430	254	126	254	SERINC1	end	
579	53	254	254	SON	end	
405	216	255	255	DSTN	end	
164	7020	256	256	RPS27	end	
238	507	257	257	PRKAR1A	end	
807	260	193	260	CAPZA2	end	
598	261	59	261	ANXA3	end	
262	191	3294	262	RPS21	end	
723	264	196	264	NOSTRIN	end	
62	1054	265	265	RPL7	end	
266	449	80	266	HNRNPK	end	
591	266	226	266	PPP1CB	end	
248	267	3927	267	RPL39	end	
267	274	241	267	SLC31A1	end	
137	277	270	270	ATP5B	end	
468	271	46	271	UTRN	end	
205	272	507	272	CLTC	end	
381	189	272	272	PALMD	end	
801	275	65	275	TMEM204	end	
276	325	14	276	GNB1	end	
277	211	734	277	LRP8	end	
274	788	278	278	SEP15	end	
178	337	280	280	RPL14	end	
578	282	52	282	CRIP2	end	
81	996	283	283	RPS4X	end	
474	283	63	283	YWHAZ	end	
265	284	7781	284	CSRP2	end	
284	116	1445	284	RPLP2	end	
285	1371	209	285	GDI2	end	
697	287	259	287	DNAJA1	end	
288	671	174	288	SAT1	end	
487	48	288	288	TCF4	end	
289	299	222	289	S1PR1	end	
291	177	895	291	KLF2	end	
1407	291	290	291	SORBS2	end	
836	294	72	294	FRY	end	
414	295	57	295	HEG1	end	
940	139	295	295	SUB1	end	
268	297	330	297	ADAM10	end	
376	298	143	298	FCGRT	end	
319	247	298	298	MYO10	end	
299	279	437	299	PICALM	end	
300	978	156	300	HMGCS2	end	
928	300	234	300	SKP1	end	
257	301	620	301	CLIC4	end	
119	367	303	303	MPZL1	end	
303	270	4066	303	RPL10A	end	
113	304	806	304	CDH5	end	
304	664	99	304	SLC25A5	end	
3105	288	305	305	ID1	end	
503	307	24	307	CSDE1	end	
2737	273	307	307	MDH1	end	
308	868	122	308	PTTG1IP	end	
42	308	1469	308	VWA1	end	
91	310	2149	310	HLA-B	end	
311	556	188	311	TMBIM6	end	
312	6611	77	312	PGLYRP1	end	
327	173	313	313	RASGRP3	end	
79	313	928	313	RHOB	end	
4602	315	304	315	LUC7L3	end	
317	161	910	317	FKBP1A	end	
9	318	2213	318	CLDN5	end	
499	320	102	320	OCLN	end	
321	286	1188	321	CSNK1A1	end	
323	354	131	323	CTSH	end	
199	323	947	323	WWTR1	end	
275	324	1295	324	NREP	end	
71	326	7362	326	ATF3	end	
326	199	599	326	TSPAN13	end	
280	327	1251	327	SLCO2B1	end	
328	86	421	328	KLF4	end	
295	329	1239	329	FZD6	end	
9862	330	92	330	SNAP25	end	
4777	331	171	331	CFH	end	
929	333	144	333	SYPL	end	
334	680	225	334	SSR3	end	
335	572	289	335	TTYH2	end	
339	457	69	339	PRDX1	end	
921	340	141	340	HPRT1	end	
5656	126	346	346	MT1E	end	
279	346	894	346	UBE2D3	end	
3984	117	348	348	IFITM1	end	
116	348	1689	348	SLC38A3	end	
50	668	353	353	RPLP0	end	
410	353	15	353	SEPT2	end	
150	6792	354	354	FTL1	end	
354	402	108	354	IQGAP1	end	
564	360	182	360	SLC16A4	end	
361	312	400	361	HMCN1	end	
558	361	61	361	PTRF	end	
3163	363	208	363	RGS4	end	
365	838	233	365	NPM1	end	
366	293	669	366	GPX1	end	
1680	280	366	366	MEF2C	end	
8763	249	367	367	NEAT1	end	
369	83	483	369	NRP1	end	
343	369	627	369	RAP1B	end	
1519	370	292	370	CHMP5	end	
370	67	480	370	MT-ND6	end	
260	492	370	370	PLAT	end	
371	1050	359	371	LIPA	end	
751	372	351	372	TPM3	end	
351	373	1495	373	SPAG9	end	
1202	374	332	374	DYNLT3	end	
374	58	2229	374	RPL35	end	
375	525	78	375	ALDOA	end	
14	503	376	376	EEF2	end	
994	377	334	377	PSMA7	end	
378	508	355	378	EOGT	end	
345	379	1906	379	DDX17	end	
379	316	3496	379	SCD	end	
247	381	927	381	CTSV	end	
89	383	859	383	RPSA	end	
922	385	181	385	SELK	end	
515	387	373	387	ATP5C1	end	
184	675	392	392	RPL18A	end	
324	392	495	392	SH3GLB1	end	
783	395	266	395	SLC25A4	end	
263	2166	396	396	ARF1	end	
646	399	164	399	ANXA5	end	
400	660	146	400	TMEM59	end	
204	401	410	401	ATP5A1	end	
943	263	402	402	ITGA6	end	
215	404	621	404	RHOA	end	
152	758	406	406	PEA15	end	
407	382	1626	407	PPIC	end	
877	407	339	407	UBL3	end	
1074	408	75	408	GATM	end	
322	1006	409	409	SLC9A3R2	end	
411	321	1157	411	SERPINE2	end	
330	412	831	412	PTPRM	end	
413	336	596	413	YWHAB	end	
415	255	1701	415	APOD	end	
608	34	418	418	TMOD3	end	
419	236	8370	419	MIR6236	end	
1142	419	197	419	PSMA6	end	
420	393	903	420	DLC1	end	
189	420	2123	420	LAPTM4A	end	
417	422	1574	422	HNRNPL	end	
423	390	561	423	ESYT2	end	
171	423	524	423	MCL1	end	
115	957	426	426	RPL32	end	
427	410	1212	427	CGNL1	end	
385	428	8953	428	GNB2	end	
835	319	432	432	ARL6IP1	end	
433	268	2609	433	LMO2	end	
1766	433	282	433	NEBL	end	
1254	151	434	434	ATP5J	end	
424	435	788	435	TGFBR2	end	
7339	171	436	436	GPM6A	end	
507	439	415	439	PTP4A2	end	
352	442	1515	442	LAMP1	end	
1494	445	177	445	FXYD5	end	
448	582	228	448	EIF3E	end	
449	362	2337	449	MEF2A	end	
3737	450	273	450	CREBBP	end	
453	416	835	453	CCNL1	end	
224	454	1229	454	MYO1B	end	
1106	432	454	454	PRRC2C	end	
1174	456	325	456	BCAP31	end	
2481	386	456	456	PHIP	end	
1197	193	457	457	DYNC1I2	end	
457	855	371	457	HNRNPC	end	
185	757	458	458	AKAP12	end	
1327	458	398	458	BRK1	end	
458	243	1461	458	FAM101B	end	
459	296	14895	459	XIST	end	
461	754	397	461	TAGLN2	end	
1307	464	175	464	MBNL1	end	
467	332	5059	467	ADGRL2	end	
96	4288	467	467	CFL1	end	
644	468	336	468	RAB1	end	
1859	349	469	469	ACKR3	end	
469	469	319	469	SOD1	end	
659	470	204	470	SH3BGRL	end	
471	461	858	471	ARHGEF12	end	
762	368	471	471	CA2	end	
735	452	472	472	PSMB1	end	
551	198	473	473	ST8SIA4	end	
456	474	791	474	LIMS1	end	
256	475	29910.5	475	APLN	end	
475	309	2355	475	CPD	end	
476	566	224	476	DAZAP2	end	
1185	480	301	480	BCLAF1	end	
1189	398	481	481	SSB	end	
271	481	2678	481	YBX1	end	
235	710	482	482	MPRIP	end	
368	482	4960	482	PTBP1	end	
483	478	1172	483	AFAP1L1	end	
485	339	2296	485	IFRD1	end	
488	656	476	488	NCKAP1	end	
349	4169	489	489	COX4I1	end	
1001	491	124	491	AHNAK	end	
491	573	446	491	PPFIBP1	end	
1940	182	491	491	ROCK1	end	
2431	494	388	494	PSMB2	end	
495	846	260	495	BZW1	end	
824	496	237	496	CR1L	end	
2251	467	497	497	HOOK3	end	
421	499	1293	499	CRK	end	
500	2755	311	500	CTSD	end	
373	1380	501	501	CAPNS1	end	
41	502	628	502	RPL13A	end	
435	3487	503	503	ENO1	end	
1031	234	504	504	MATR3	end	
509	654	227	509	SRSF5	end	
251	511	1704	511	PABPC1	end	
511	792	253	511	SEPT4	end	
131	873	511	511	SQSTM1	end	
512	580	247	512	ICAM2	end	
930	512	249	512	TMEM50A	end	
513	366	703	513	DOCK9	end	
273	514	2007	514	ATF4	end	
806	515	110	515	TSC22D3	end	
516	202	709	516	KIF5B	end	
1606	518	358	518	APBB2	end	
4962	519	460	519	ID2	end	
526	1003	347	526	CCT5	end	
685	376	526	526	EIF3A	end	
527	1290	291	527	CTSB	end	
1587	528	186	528	DRAM2	end	
528	66	552	528	GNG11	end	
1023	530	423	530	RSU1	end	
688	317	530	530	SDPR	end	
531	1525	382	531	RPN2	end	
1036	532	356	532	MTUS1	end	
392	533	584	533	NCL	end	
1878	378	534	534	KIF1B	end	
534	544	463	534	TGOLN2	end	
535	9426	515	535	OAZ1	end	
565	485	535	535	ST3GAL6	end	
399	536	2658	536	PDE4B	end	
540	148	29910.5	540	HSPA1B	end	
431	541	803	541	FLNB	end	
549	431	2996	549	AFDN	end	
550	1659	250	550	MFGE8	end	
298	551	1373	551	BRD2	end	
313	552	819	552	TNFAIP1	end	
1060	553	427	553	RAB18	end	
553	1214	299	553	TRIP12	end	
772	521	553	553	YWHAQ	end	
425	554	1826	554	RPS13	end	
554	344	662	554	SERBP1	end	
1073	314	555	555	IGF1R	end	
555	358	5335	555	RAB5C	end	
1367	557	201	557	CALD1	end	
557	438	810	557	SNX3	end	
533	981	558	558	JAM2	end	
559	421	3511	559	MTPN	end	
450	559	2689	559	TDRP	end	
560	490	2357	560	RHOJ	end	
562	3337	490	562	GPX4	end	
1224	471	562	562	SMARCA2	end	
10509	212	563	563	SNHG11	end	
314	568	1884	568	ADIPOR1	end	
157	569	1149	569	ACTN4	end	
569	225	5364	569	ARPC1B	end	
524	729	569	569	HIP1	end	
572	1370	360	572	SEC61A1	end	
603	574	262	574	MAP4	end	
2425	196	575	575	PLCB4	end	
1828	575	191	575	ZFP207	end	
577	1089	189	577	PDIA6	end	
2613	578	98	578	LRRC58	end	
581	8955	341	581	UCP2	end	
3716	487	585	585	LEF1	end	
438	587	624	587	BNIP3L	end	
587	311	1316	587	INSR	end	
1455	534	588	588	PSMB6	end	
593	104	761	593	UQCRH	end	
1173	529	594	594	COBLL1	end	
595	176	889	595	TCEAL9	end	
465	596	874	596	TNFRSF19	end	
541	597	1505	597	ECSCR	end	
704	598	450	598	LAMP2	end	
3468	599	300	599	MARCKS	end	
3207	600	192	600	NFIA	end	
600	564	739	600	TM9SF3	end	
1298	601	416	601	HSBP1	end	
252	5205	601	601	RPS23	end	
817	120	602	602	ATOX1	end	
1884	603	465	603	TOB1	end	
604	1560	281	604	DUSP3	end	
2015	605	162	605	GSTM1	end	
193	5347	605	605	RPS25	end	
1212	256	606	606	TTC3	end	
364	608	2539	608	FAM129A	end	
4000	341	609	609	PNISR	end	
15	611	753	611	TPT1	end	
825	612	389	612	PKP4	end	
612	6045	516	612	UQCRC1	end	
614	207	1434	614	H3F3A	end	
2446	614	185	614	MAL	end	
1656	615	591	615	GTF3C2	end	
617	391	2278	617	MMRN2	end	
618	616	2308	618	ARF6	end	
619	328	1122	619	EFR3B	end	
573	2626	619	619	PRDX2	end	
1415	620	537	620	TRAM1	end	
621	371	5920	621	FUS	end	
3725	622	365	622	MAP1B	end	
11221	335	623	623	AW112010	end	
1557	624	328	624	ELOVL5	end	
625	588	1141	625	PUM2	end	
188	626	1131	626	RPL19	end	
628	545	1686	628	HECTD1	end	
309	2073	629	629	GPI	end	
333	630	1296	630	CNN3	end	
1702	305	630	630	NPTN	end	
463	2182	631	631	SRPRA	end	
632	389	3275	632	KLHL5	end	
391	633	1238	633	DENND5A	end	
633	543	2037	633	SLC30A1	end	
